CPU Load (%),CPU Cores,Memory RAM Usage (%),Memory Swap Usage (%),Disk Usage (%),downgrade
48.21,7,79.28,20.54,77.6,1
46.11,7,70.48,12.58,69.16,1
31.94,8,4.33,83.23,35.0,1
36.71,8,49.51,93.8,90.16,1
7.23,4,15.69,6.88,26.13,0
48.07,4,43.88,3.49,36.88,0
35.79,8,1.97,70.58,82.93,1
32.31,1,76.27,44.45,29.84,1
87.0,8,10.38,83.0,12.44,1
37.66,2,21.02,26.45,84.86,1
66.0,3,91.99,23.1,45.01,1
51.23,1,67.01,31.3,44.78,1
40.1,4,38.26,2.59,72.67,0
57.06,4,34.64,89.05,68.85,1
50.07,1,81.18,2.9,2.86,1
47.56,2,1.71,13.46,30.89,0
62.47,1,70.31,7.07,1.76,1
0.76,3,46.56,1.52,63.8,0
22.15,3,42.14,49.51,86.81,1
45.62,5,84.92,76.49,70.09,1
47.62,1,62.12,46.16,24.9,1
34.67,5,26.17,22.24,20.21,0
47.63,4,56.58,50.35,75.89,1
92.03,4,70.26,70.79,30.21,1
0.1,4,58.1,32.52,87.74,1
0.36,4,44.45,31.65,35.6,1
8.19,7,92.46,45.68,89.42,1
22.85,2,1.92,62.24,74.71,1
78.77,2,93.37,19.14,40.33,1
22.84,8,47.72,23.07,5.57,1
23.67,6,55.21,9.95,14.37,0
77.2,5,88.84,7.47,89.68,1
73.8,6,71.17,98.67,56.93,1
48.83,8,66.54,19.1,9.47,1
64.03,5,31.78,75.46,31.33,1
60.32,6,92.42,8.06,63.16,1
0.64,8,43.77,99.05,83.23,1
85.87,6,23.3,21.61,59.1,1
42.83,8,10.9,95.1,97.15,1
18.7,1,3.4,30.04,73.6,0
69.89,6,83.28,23.16,58.36,1
71.17,1,52.52,22.59,39.28,1
64.63,8,86.87,90.54,76.99,1
93.93,3,71.78,7.51,9.49,1
1.29,4,48.17,59.78,9.04,1
30.08,2,0.83,95.83,37.72,1
20.9,3,67.11,79.23,89.63,1
65.76,8,37.59,15.76,31.45,0
18.3,8,57.46,16.07,77.18,1
16.66,4,56.43,62.79,13.3,1
80.01,5,71.78,26.61,38.18,1
89.17,8,41.1,32.22,25.09,1
82.42,3,15.94,14.83,58.79,1
39.05,4,74.23,8.0,43.01,1
74.58,5,89.04,89.75,73.2,1
5.82,7,65.9,5.87,95.87,1
1.67,6,86.17,96.19,3.51,1
33.6,5,86.38,0.24,67.13,1
74.81,1,5.27,8.28,76.04,1
71.98,8,62.44,86.95,83.33,1
54.79,3,66.4,11.53,29.93,1
34.54,7,55.65,72.37,23.19,1
18.8,3,39.0,21.35,7.57,0
47.7,6,78.76,70.94,13.37,1
39.29,3,44.81,87.02,96.39,1
65.27,4,36.1,93.97,57.6,1
66.8,7,67.71,76.02,9.0,1
35.58,8,64.41,26.27,81.94,1
91.61,5,16.07,56.44,1.63,1
92.82,3,61.86,49.36,80.62,1
60.69,6,37.52,95.18,85.01,1
61.85,3,79.9,44.4,4.79,1
85.6,3,72.66,16.07,9.92,1
85.8,3,62.95,43.65,15.47,1
69.75,8,97.01,74.21,29.27,1
93.49,4,61.79,37.98,4.04,1
21.74,7,97.63,28.01,20.76,1
90.59,4,6.87,84.94,75.07,1
73.34,3,89.42,49.82,72.86,1
6.26,1,90.2,12.91,42.23,1
58.31,7,38.03,13.31,18.91,0
13.9,4,94.47,65.69,46.87,1
31.58,6,72.08,24.44,54.71,1
20.65,6,60.14,44.88,56.99,1
82.31,8,96.86,49.59,81.56,1
25.45,7,58.65,70.4,56.94,1
48.31,2,81.01,67.78,13.38,1
91.53,7,73.45,57.25,79.39,1
85.5,6,98.25,20.12,7.06,1
97.76,6,21.93,24.77,13.92,1
20.76,5,5.35,29.64,61.69,0
36.85,7,59.93,58.83,59.14,1
22.13,7,18.51,62.31,86.01,1
88.23,3,22.0,69.36,85.25,1
89.5,1,65.8,52.62,39.31,1
57.12,3,87.96,82.09,89.51,1
86.6,8,13.18,49.98,2.46,1
20.07,8,63.26,46.13,52.89,1
58.42,1,90.3,95.86,76.69,1
40.73,1,22.78,39.63,73.79,0
95.63,6,97.07,42.77,60.72,1
73.95,8,34.32,58.21,5.7,1
38.6,2,85.32,93.84,45.1,1
36.18,4,38.84,59.62,19.04,1
43.61,7,50.46,72.09,4.42,1
85.73,2,72.48,42.49,85.24,1
90.48,2,98.85,76.36,44.48,1
71.41,3,52.64,97.04,24.45,1
98.51,1,30.25,50.52,0.78,1
63.61,3,93.6,99.0,69.71,1
45.2,3,33.76,6.76,3.01,0
8.75,7,21.75,22.62,10.47,0
53.69,6,11.19,69.36,92.57,1
50.18,4,88.83,72.51,21.9,1
69.86,3,17.18,44.63,5.47,0
33.18,7,55.95,18.81,0.39,1
17.45,1,97.74,94.71,19.91,1
23.21,2,36.09,62.83,84.72,1
47.4,7,89.32,34.35,98.66,1
34.4,2,76.63,34.69,20.16,1
67.13,3,11.28,5.73,30.19,0
91.99,1,22.65,55.01,97.68,1
93.22,4,3.2,17.42,26.21,1
77.58,3,23.6,20.8,83.22,1
18.27,2,9.9,78.71,56.73,1
73.97,4,11.12,68.24,68.61,1
43.99,3,2.6,53.34,94.61,1
82.22,5,78.4,55.81,97.67,1
71.07,8,72.38,1.82,14.79,1
5.33,7,48.14,81.09,74.97,1
37.02,1,85.2,13.68,98.37,1
25.83,5,21.9,88.34,84.4,1
73.0,1,80.43,90.81,46.74,1
76.18,3,44.18,51.54,6.93,1
68.65,1,52.77,89.98,4.35,1
40.72,3,96.12,3.12,58.7,1
75.64,3,70.31,77.12,89.63,1
85.85,5,45.21,19.35,96.74,1
41.61,6,19.39,37.71,23.66,0
39.04,6,18.16,85.98,80.15,1
35.64,4,93.29,15.96,89.52,1
23.49,8,21.7,80.58,25.85,1
36.16,7,61.69,55.35,42.23,1
2.82,8,15.82,11.63,16.67,0
76.07,6,80.98,40.66,50.06,1
97.93,1,59.2,48.31,66.28,1
5.82,5,57.05,97.04,18.85,1
31.22,6,69.85,65.03,74.8,1
98.7,2,67.07,89.05,14.31,1
36.68,3,31.89,44.44,82.29,1
31.67,2,81.96,43.38,70.67,1
31.92,8,78.72,55.9,19.5,1
83.01,5,89.58,47.04,42.72,1
21.88,2,78.47,70.54,51.51,1
62.9,2,5.1,21.92,3.85,0
88.12,1,62.82,89.61,91.09,1
56.92,2,27.56,77.54,17.72,1
27.24,3,19.07,11.18,6.28,0
40.8,6,22.04,14.09,89.97,1
76.05,1,21.66,45.4,28.4,1
59.06,8,4.2,77.56,6.02,1
94.63,2,80.19,71.42,97.65,1
54.81,1,73.35,75.73,25.98,1
14.33,2,85.95,36.23,36.04,1
31.62,4,71.49,55.86,88.82,1
41.64,7,75.75,73.25,61.48,1
9.04,4,68.53,92.24,22.92,1
60.88,8,85.96,61.34,95.78,1
16.05,3,22.25,57.06,17.72,1
73.71,8,27.62,60.76,59.76,1
91.5,3,71.88,42.66,85.53,1
82.24,6,4.56,8.39,11.01,1
70.53,4,26.3,58.94,47.19,1
71.76,4,71.56,92.55,43.82,1
24.0,5,13.29,2.29,28.99,0
82.37,6,95.46,54.5,86.75,1
86.54,8,12.29,58.53,81.42,1
95.02,6,37.63,38.11,17.17,1
74.56,1,51.7,34.94,12.48,1
82.41,5,90.84,47.92,89.77,1
24.78,8,12.42,25.37,96.81,1
82.59,6,22.15,4.3,79.84,1
19.08,4,1.11,67.27,11.37,1
37.91,4,89.25,7.23,30.39,1
6.65,3,61.36,3.51,90.35,1
35.24,3,18.47,0.32,58.2,0
20.96,6,30.9,50.42,64.99,1
39.78,8,62.36,95.33,35.36,1
99.46,4,25.21,24.03,47.07,1
24.49,7,31.59,48.22,45.49,1
28.68,2,68.54,21.83,56.7,1
4.5,6,13.62,57.42,78.66,1
16.53,1,10.59,53.77,49.89,1
50.37,8,33.18,38.65,12.35,1
95.85,3,77.88,58.8,35.87,1
5.28,4,71.47,5.17,25.99,1
50.47,5,19.69,31.3,36.42,0
54.67,2,30.61,60.84,54.14,1
95.94,3,19.04,53.27,9.83,1
16.84,1,55.62,42.55,39.56,1
78.46,7,6.68,23.24,44.86,1
25.18,3,57.19,35.35,48.93,1
4.74,3,55.54,84.62,25.73,1
71.63,8,9.44,14.47,53.25,1
75.65,2,65.57,80.58,72.14,1
31.51,1,20.95,53.68,75.67,1
54.16,2,38.61,0.61,10.02,0
74.32,6,21.63,13.13,53.49,1
75.05,1,34.71,77.96,37.64,1
0.53,4,47.75,94.09,88.75,1
41.08,4,2.49,19.25,36.97,0
47.92,7,98.42,78.59,13.15,1
79.37,2,35.4,39.06,97.89,1
39.71,2,47.1,41.26,95.7,1
80.66,2,39.06,44.74,29.19,1
70.34,7,48.11,29.68,48.12,1
89.49,6,91.91,70.64,18.39,1
31.75,6,43.78,18.07,10.36,0
57.43,1,77.08,12.27,59.14,1
2.25,3,42.16,31.47,35.89,1
60.62,4,88.16,79.14,87.85,1
40.88,5,66.3,56.34,98.52,1
5.93,8,90.46,29.38,99.41,1
88.42,4,1.77,24.61,65.37,1
10.04,8,74.85,12.0,90.05,1
17.17,2,96.52,42.01,2.32,1
31.27,6,72.42,84.83,80.97,1
91.1,2,27.93,82.12,24.48,1
40.82,8,69.85,41.11,70.0,1
78.53,7,50.66,77.06,92.1,1
56.75,6,90.77,87.89,5.48,1
2.18,3,12.94,31.01,87.32,1
99.5,6,16.04,32.8,53.55,1
18.79,5,6.87,74.16,53.34,1
0.38,6,54.17,92.59,72.18,1
62.84,3,60.85,97.19,23.75,1
11.63,1,41.71,64.54,53.71,1
75.15,4,1.4,98.6,46.39,1
42.51,2,20.58,50.1,70.81,1
53.82,2,25.36,38.08,14.76,0
89.09,6,90.88,89.96,73.52,1
77.37,3,97.21,5.33,76.24,1
0.03,6,91.97,56.79,93.8,1
70.27,3,15.89,37.48,23.04,1
38.37,2,91.71,43.72,29.87,1
41.29,3,50.87,49.99,71.08,1
89.62,5,46.0,89.95,84.74,1
40.45,7,55.07,15.76,67.32,1
1.45,6,29.75,84.21,50.64,1
33.31,2,92.81,53.81,47.41,1
80.4,6,46.57,94.25,94.18,1
8.28,1,13.37,91.84,5.66,1
27.21,8,76.39,14.22,93.73,1
73.82,3,15.98,53.98,2.39,1
95.35,3,96.66,25.4,72.94,1
6.02,4,84.66,33.67,28.31,1
28.41,1,63.86,15.47,45.82,1
23.16,8,10.88,62.61,92.45,1
7.73,1,90.75,81.52,21.58,1
36.31,6,18.16,29.83,94.72,1
52.46,6,82.57,36.5,16.12,1
16.3,2,46.38,40.59,17.72,1
33.66,5,96.58,64.98,97.32,1
37.03,6,79.83,11.74,32.35,1
15.82,7,31.81,60.06,55.89,1
78.85,4,19.79,34.69,10.42,1
60.49,1,78.49,4.47,35.63,1
85.56,3,78.04,7.28,45.37,1
68.09,3,89.87,27.1,27.53,1
19.68,3,21.62,83.87,73.25,1
78.82,6,2.6,37.75,8.19,1
74.1,2,25.27,28.9,73.09,1
7.06,3,2.07,27.25,75.06,0
0.11,5,27.96,81.21,11.25,1
23.95,7,84.99,57.98,21.91,1
92.79,5,17.81,81.56,1.06,1
41.53,4,49.56,67.22,38.2,1
98.93,3,38.51,96.74,42.95,1
48.69,3,70.74,5.25,25.66,1
13.76,4,39.6,30.77,93.87,1
4.17,1,95.08,72.5,35.47,1
65.2,5,92.37,92.04,79.87,1
49.98,5,32.19,95.78,82.96,1
10.05,7,84.76,96.33,47.24,1
14.58,6,4.82,54.8,31.72,1
75.22,4,33.76,36.55,68.39,1
72.57,1,40.28,86.55,81.32,1
35.3,4,92.95,43.94,51.64,1
35.4,1,56.6,77.04,23.43,1
80.84,5,41.28,45.04,57.27,1
19.31,7,14.55,3.95,10.62,0
32.63,2,11.1,46.09,67.55,0
53.52,4,85.29,61.08,13.15,1
47.63,2,89.91,15.03,43.34,1
83.46,7,36.08,37.29,59.69,1
11.85,5,58.45,16.84,90.54,1
41.95,1,94.19,54.49,32.01,1
97.19,6,65.56,65.57,96.99,1
95.32,4,73.4,74.18,50.98,1
15.86,4,7.94,50.69,28.46,1
91.59,5,51.64,13.97,78.7,1
5.79,8,36.56,89.57,19.65,1
72.38,5,26.32,19.37,27.16,1
79.54,3,75.99,47.94,40.85,1
15.88,3,54.07,96.05,80.22,1
2.18,5,10.92,0.5,66.37,0
50.61,4,91.46,36.16,19.89,1
11.36,3,12.3,44.47,8.75,0
42.79,2,44.99,17.19,58.91,0
11.89,7,92.5,35.28,5.68,1
97.21,7,72.53,70.88,70.0,1
79.88,5,90.86,31.7,98.94,1
79.92,6,33.46,49.41,51.23,1
42.53,5,58.97,17.35,78.14,1
33.4,1,93.99,67.55,43.68,1
59.31,4,33.46,68.26,50.49,1
4.91,2,16.05,92.22,50.45,1
33.57,7,66.81,51.36,71.5,1
76.07,5,4.04,70.21,35.34,1
95.46,7,35.11,54.5,63.06,1
70.31,6,77.29,10.21,41.99,1
83.94,3,82.31,30.63,10.21,1
9.13,2,13.97,33.85,64.15,0
64.5,1,15.04,30.34,4.26,0
15.07,6,83.26,77.61,66.05,1
9.77,4,72.77,42.11,65.45,1
72.57,5,66.99,0.56,62.71,1
7.6,4,54.48,15.87,94.1,1
10.69,6,11.72,28.34,47.47,0
65.28,3,33.06,37.95,14.96,1
27.76,2,30.39,27.28,84.62,1
14.02,6,61.6,50.31,96.0,1
35.26,1,86.07,44.62,51.25,1
14.47,2,85.38,69.17,11.18,1
45.52,8,60.09,70.12,84.32,1
87.26,2,82.26,22.88,53.74,1
57.81,7,94.38,5.91,4.23,1
88.17,6,63.02,73.24,87.31,1
87.62,1,27.95,56.73,9.32,1
61.77,6,39.96,24.66,98.8,1
44.22,8,61.89,78.81,24.11,1
6.75,4,73.29,89.83,66.61,1
69.63,7,57.42,33.85,57.4,1
53.87,8,11.35,90.0,29.24,1
85.29,1,66.35,67.66,97.03,1
72.18,2,82.47,8.25,84.01,1
80.96,2,5.64,78.72,86.25,1
18.51,1,42.89,51.28,69.7,1
37.16,5,0.09,92.65,84.91,1
65.57,5,2.01,91.95,35.97,1
21.79,4,56.63,94.24,35.41,1
84.84,5,80.07,16.7,3.13,1
42.01,5,81.23,91.9,32.91,1
95.84,4,41.19,73.01,12.01,1
77.03,6,16.37,61.36,12.93,1
29.29,3,2.85,76.57,32.4,1
88.91,6,78.84,32.33,65.61,1
65.16,1,23.44,20.61,46.34,0
54.19,5,92.18,57.53,52.0,1
35.17,8,73.74,87.7,97.53,1
8.25,1,43.61,0.25,3.99,0
81.28,3,74.88,17.43,94.51,1
26.77,4,18.21,32.58,93.82,1
83.92,7,5.04,18.2,29.27,1
18.28,1,64.89,68.83,25.06,1
17.71,2,28.07,39.33,52.13,0
35.96,4,54.74,24.58,45.15,1
57.17,1,93.37,17.06,97.71,1
82.22,3,98.54,22.32,69.55,1
9.15,7,32.0,58.71,96.77,1
34.27,7,87.94,78.82,89.4,1
84.33,8,91.54,30.45,49.02,1
68.91,7,39.85,61.81,97.53,1
37.2,5,69.28,81.56,45.72,1
26.97,1,9.2,84.14,93.81,1
82.4,8,57.32,5.53,20.72,1
78.1,8,53.66,23.38,3.25,1
1.33,3,78.95,1.15,46.14,1
78.9,2,29.41,43.69,57.14,1
2.51,1,10.73,54.93,77.05,1
1.86,7,75.59,45.13,73.79,1
73.64,4,34.51,3.67,35.62,1
94.52,4,18.65,43.36,76.79,1
97.69,3,79.87,98.96,9.55,1
92.28,4,69.83,36.04,20.74,1
96.32,4,64.85,20.11,27.79,1
88.73,2,19.92,0.45,68.65,1
69.39,8,10.4,82.38,1.89,1
54.09,1,51.15,49.28,93.59,1
1.11,5,2.56,34.8,18.07,0
52.35,5,38.09,64.36,69.88,1
48.51,4,99.72,3.48,69.06,1
12.86,1,20.05,30.92,54.85,0
53.75,1,9.28,80.86,67.22,1
56.86,2,22.29,30.58,65.07,0
87.03,5,80.29,17.62,19.55,1
11.17,3,53.78,78.28,28.93,1
95.81,2,82.5,65.73,64.5,1
11.53,6,8.4,67.1,62.94,1
46.87,3,76.79,6.87,36.3,1
3.64,1,81.52,81.56,23.92,1
6.9,2,43.25,59.16,90.24,1
32.88,4,87.19,87.54,2.85,1
62.3,5,27.54,88.08,9.55,1
95.15,7,80.19,12.98,32.68,1
95.48,2,27.17,76.64,75.65,1
41.86,4,46.06,93.29,46.5,1
84.33,7,24.73,3.04,35.82,1
34.69,8,29.1,91.28,44.7,1
42.45,1,94.0,39.27,82.17,1
76.8,5,98.52,46.76,15.35,1
65.89,2,59.67,18.32,12.42,1
62.01,4,73.7,67.03,17.7,1
78.09,1,98.35,26.0,99.22,1
30.58,6,33.05,69.85,53.84,1
5.46,7,85.73,67.53,49.64,1
88.31,5,44.88,61.67,28.57,1
83.83,7,98.22,27.23,41.01,1
82.76,7,79.09,55.51,14.7,1
93.24,8,74.86,89.18,33.46,1
13.73,4,95.63,16.63,42.11,1
56.16,1,39.87,97.67,14.17,1
71.94,7,87.42,91.29,65.1,1
55.61,6,45.48,63.76,95.15,1
95.48,2,14.39,61.18,63.73,1
16.42,3,45.28,53.43,94.73,1
94.4,5,49.28,97.39,52.12,1
32.55,4,87.57,51.49,3.09,1
47.89,4,28.73,9.75,94.43,1
88.85,2,74.62,3.39,81.84,1
98.83,8,29.86,43.06,65.89,1
5.58,2,78.82,5.18,65.32,1
6.73,1,43.75,83.9,4.77,1
79.09,5,30.6,68.41,73.9,1
12.39,3,57.82,97.89,35.6,1
72.8,7,66.7,34.09,52.59,1
84.55,2,80.78,86.67,2.33,1
16.86,8,37.56,64.03,20.69,1
6.11,4,59.11,82.55,55.71,1
65.96,5,8.99,72.84,46.57,1
67.6,5,65.48,58.82,1.91,1
14.94,3,34.14,42.26,12.78,1
39.59,7,83.48,1.14,87.33,1
44.93,2,56.3,34.35,15.02,1
78.18,3,57.81,76.64,18.12,1
71.14,4,26.34,86.09,67.75,1
15.09,7,98.82,92.75,23.7,1
59.62,1,13.09,67.6,36.3,1
72.09,7,2.79,57.74,18.79,1
81.07,3,26.9,99.83,58.22,1
25.23,2,9.11,30.96,97.02,1
9.53,3,71.59,61.66,78.65,1
45.94,2,28.5,1.06,0.14,0
33.65,6,8.02,24.42,25.64,0
25.19,2,23.77,81.08,42.16,1
52.85,4,50.13,34.66,61.01,1
81.1,2,65.38,79.07,47.0,1
30.81,2,41.1,39.89,35.32,1
14.48,5,14.25,91.9,75.22,1
87.84,5,35.2,11.8,2.12,1
80.17,5,97.66,51.98,83.0,1
15.25,3,21.25,99.27,54.64,1
65.42,5,60.85,48.33,79.96,1
60.67,8,77.68,6.94,35.7,1
12.09,2,2.09,58.27,20.83,1
73.6,3,95.39,84.97,38.33,1
25.6,1,7.37,84.03,72.81,1
1.31,7,9.92,14.13,79.86,0
89.36,3,45.09,60.07,53.2,1
30.05,2,98.2,71.71,84.57,1
20.64,7,17.02,40.48,50.16,0
10.02,5,98.11,74.79,67.75,1
84.64,4,39.1,90.12,63.43,1
42.84,4,25.76,75.95,90.51,1
5.51,1,1.57,57.64,28.76,1
15.76,4,13.93,54.65,45.38,1
69.7,2,47.2,79.0,25.8,1
31.27,3,71.88,92.15,9.54,1
4.51,1,50.4,70.33,50.5,1
99.55,2,19.91,20.26,98.4,1
14.86,4,71.29,59.26,67.3,1
76.95,1,39.75,26.86,74.92,1
6.64,2,36.27,12.89,39.67,0
1.54,8,0.47,97.14,34.25,1
79.82,3,65.97,31.45,87.22,1
30.09,4,41.16,60.9,24.17,1
94.99,4,27.47,62.3,27.5,1
68.59,3,32.64,53.92,80.76,1
74.61,5,72.61,45.84,27.07,1
95.1,4,45.73,37.07,76.25,1
48.23,6,26.26,43.64,1.96,0
68.43,1,86.4,64.88,45.72,1
40.22,4,30.8,24.55,22.08,0
69.13,6,58.46,67.63,72.55,1
98.59,8,95.9,35.76,69.02,1
83.97,7,57.97,32.56,88.82,1
87.68,3,28.43,47.16,55.26,1
3.75,2,67.22,37.94,5.59,1
79.74,1,30.39,2.61,83.18,1
45.76,7,58.27,48.74,74.31,1
75.33,6,96.53,57.09,4.6,1
97.35,7,37.52,91.34,79.1,1
82.74,5,86.77,48.44,63.19,1
35.68,8,12.98,60.79,22.03,1
76.98,7,96.58,28.05,23.89,1
10.61,2,16.87,46.19,1.24,0
83.44,5,20.26,4.05,25.78,1
40.92,8,16.99,81.9,25.06,1
51.56,3,74.97,24.81,23.6,1
36.35,3,85.1,79.97,68.24,1
39.69,3,49.59,25.5,84.27,1
70.0,1,0.88,53.86,96.36,1
75.59,3,34.73,38.85,89.46,1
89.92,7,96.52,77.23,63.91,1
31.31,1,87.28,98.14,95.06,1
67.69,1,1.87,53.69,0.66,1
46.72,1,5.51,87.34,67.21,1
55.41,5,11.16,71.49,77.81,1
4.67,4,84.82,17.67,85.69,1
19.08,3,65.65,64.83,38.64,1
12.23,1,67.32,98.71,4.27,1
36.68,4,13.11,17.0,96.67,1
93.07,8,57.26,22.86,25.78,1
94.79,1,21.17,31.42,86.56,1
67.04,3,88.85,97.33,79.95,1
57.07,4,42.35,13.82,22.68,0
9.08,4,79.05,96.56,80.51,1
70.7,2,16.52,58.64,84.2,1
6.42,3,24.21,60.69,12.39,1
57.21,3,42.25,47.31,19.12,1
7.02,3,10.31,70.35,20.26,1
24.49,2,63.68,12.0,35.27,1
63.17,7,75.78,11.1,35.99,1
70.0,5,63.79,44.25,80.65,1
36.5,3,29.61,72.43,79.39,1
81.72,3,23.41,25.9,90.42,1
93.25,4,77.4,64.54,40.06,1
20.54,5,25.12,41.83,1.63,0
95.17,3,18.14,32.06,3.19,1
86.55,3,17.26,24.37,1.51,1
40.77,2,51.42,3.89,34.3,0
32.69,3,61.2,60.38,9.54,1
4.35,1,11.36,26.24,35.35,0
1.46,3,78.8,81.09,14.02,1
23.12,7,59.92,15.65,21.0,1
22.03,2,89.49,95.87,26.77,1
76.67,2,28.75,26.1,58.11,1
81.4,3,58.83,2.33,35.98,1
25.71,4,13.86,39.31,36.38,0
52.88,7,98.76,31.85,58.07,1
44.19,2,30.27,63.66,96.65,1
88.12,8,38.17,5.55,78.6,1
22.08,8,87.27,79.22,9.97,1
82.82,2,52.78,20.92,33.72,1
45.35,6,9.78,37.91,41.29,0
96.58,3,59.82,35.96,28.28,1
89.06,2,37.05,50.52,92.29,1
55.05,6,24.13,88.1,18.01,1
49.75,2,42.4,8.52,97.67,1
26.69,6,41.65,94.94,38.19,1
98.9,6,86.52,73.81,21.96,1
1.77,8,23.48,37.96,53.71,0
45.44,8,72.03,19.12,64.95,1
49.41,3,25.29,45.93,52.55,1
18.04,4,49.23,27.03,66.14,1
6.45,7,15.32,4.02,34.59,0
41.14,4,16.38,25.83,76.9,0
72.24,7,77.1,27.05,26.88,1
47.6,2,15.28,73.7,8.98,1
52.55,1,16.07,50.22,38.1,1
64.75,3,89.73,70.16,58.18,1
28.39,4,48.51,50.2,24.15,1
35.82,4,96.65,50.09,62.36,1
7.02,2,86.36,34.97,57.61,1
30.12,1,82.57,43.32,76.21,1
76.51,7,88.18,95.66,27.44,1
35.77,6,22.21,35.15,93.06,1
95.86,4,39.68,78.81,40.7,1
15.27,1,40.25,4.38,10.31,0
24.41,3,35.51,10.94,30.72,0
92.11,6,51.62,59.35,96.02,1
86.15,2,50.7,26.93,46.76,1
17.34,2,38.07,85.3,55.99,1
85.24,1,80.64,25.85,67.89,1
74.17,1,24.72,35.83,20.94,1
99.85,4,20.18,13.16,8.16,1
51.26,3,93.71,72.6,66.17,1
11.58,7,63.42,15.97,52.3,1
6.52,1,8.23,20.99,31.67,0
32.79,1,73.65,65.3,42.43,1
97.45,1,49.52,93.05,57.71,1
59.03,8,71.65,72.48,63.13,1
7.07,1,81.98,27.92,75.2,1
2.36,2,28.57,82.79,23.78,1
65.43,6,9.6,1.16,7.44,0
5.5,4,86.72,1.76,27.49,1
77.51,2,57.35,79.8,48.69,1
95.83,2,55.99,31.65,18.76,1
97.18,7,64.15,45.21,22.1,1
92.21,1,41.98,75.21,37.1,1
16.61,7,23.88,12.98,44.72,0
18.33,3,36.92,36.37,85.17,1
73.03,1,54.45,70.75,11.24,1
54.3,7,83.6,26.59,34.24,1
49.91,4,93.58,32.93,94.13,1
98.02,2,72.54,60.42,76.58,1
30.52,2,39.74,33.7,56.78,1
74.45,8,70.28,45.65,2.05,1
30.84,2,82.31,49.62,8.56,1
88.49,2,34.52,17.41,72.46,1
51.03,7,42.3,89.97,20.5,1
99.6,2,8.57,52.09,51.35,1
49.55,1,91.48,69.55,82.54,1
76.56,1,25.83,93.85,43.58,1
10.7,2,21.85,73.63,12.61,1
32.55,1,86.7,47.28,51.36,1
15.17,2,81.37,53.52,56.22,1
10.8,2,6.05,96.94,97.24,1
27.95,5,9.12,84.32,63.58,1
72.76,3,32.56,16.38,39.48,1
30.2,8,56.19,55.94,0.62,1
36.33,3,75.58,15.07,54.14,1
56.09,7,31.97,93.42,98.78,1
23.11,4,72.72,79.67,38.0,1
84.97,6,11.75,40.86,0.25,1
41.9,2,88.82,32.45,71.21,1
29.1,1,68.69,12.44,32.59,1
34.87,6,31.04,83.86,56.23,1
9.38,2,46.62,5.68,85.01,1
70.24,5,56.8,42.08,73.53,1
0.9,7,23.68,30.36,12.57,0
96.61,2,38.17,99.43,81.61,1
69.17,5,83.6,96.62,77.3,1
56.79,2,17.6,34.67,18.57,0
72.0,4,87.81,46.45,1.51,1
26.18,8,17.65,30.74,8.44,0
9.4,2,19.05,21.42,95.96,1
74.73,8,18.4,42.93,37.74,1
64.56,1,17.17,81.71,42.0,1
31.33,4,49.12,20.23,93.33,1
88.15,3,70.13,63.34,37.02,1
57.88,1,65.24,12.05,31.75,1
61.79,1,80.74,22.62,16.51,1
98.06,2,57.88,43.04,91.97,1
84.39,8,57.35,70.17,50.82,1
75.33,6,75.07,30.96,87.6,1
66.12,6,21.61,18.27,97.12,1
3.3,5,22.85,81.55,63.68,1
69.18,7,73.27,95.16,43.76,1
80.76,7,91.09,87.88,70.93,1
95.99,4,44.05,86.29,33.6,1
4.76,1,75.45,65.07,4.76,1
40.8,8,91.12,55.03,0.07,1
10.45,6,43.26,45.8,4.94,1
16.61,5,55.51,9.77,83.88,1
11.1,1,57.44,1.46,59.98,0
49.7,3,11.31,19.74,86.04,1
79.96,2,14.07,55.89,16.03,1
2.19,4,19.74,78.38,26.24,1
7.85,5,61.53,24.38,43.97,1
80.27,4,51.26,36.59,87.62,1
57.51,5,31.15,35.07,53.76,0
68.47,4,31.18,95.17,9.09,1
94.82,4,43.71,8.98,56.17,1
91.09,7,26.73,17.49,70.97,1
45.57,2,26.93,87.33,82.96,1
84.37,4,38.36,72.99,83.2,1
36.67,5,61.52,80.14,52.66,1
26.06,5,0.99,90.42,22.4,1
20.17,5,67.81,75.64,33.46,1
68.62,8,76.69,33.1,62.54,1
14.21,6,73.79,50.11,86.04,1
50.93,6,23.71,9.71,77.28,0
32.26,4,43.92,27.27,51.82,1
71.94,7,56.02,32.6,19.86,1
7.21,7,90.62,87.47,64.01,1
19.34,5,35.44,93.5,70.6,1
52.94,1,74.83,54.28,65.55,1
23.05,3,54.08,53.9,20.46,1
10.02,5,69.79,1.34,16.08,1
47.05,1,55.06,5.05,38.81,0
91.05,5,1.96,52.63,14.83,1
23.06,2,5.44,63.88,28.13,1
12.29,4,59.24,58.23,73.46,1
13.14,2,17.81,96.64,71.85,1
9.1,7,95.09,81.79,41.26,1
4.29,1,82.48,16.65,74.0,1
24.42,6,59.84,17.6,33.71,1
66.18,6,52.41,27.25,29.2,1
46.16,7,44.09,12.71,29.09,0
73.72,6,64.96,10.29,85.41,1
84.31,7,5.86,13.64,93.99,1
54.73,2,10.22,25.0,0.05,0
57.28,3,26.27,99.27,57.65,1
72.97,1,93.53,44.66,99.42,1
81.85,8,98.4,22.45,68.57,1
22.96,8,23.53,81.5,97.28,1
